Metric,Value
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.6990872523189506
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.6718885638032422
timing__hold__ws__corner:min_ss_100C_1v60,0.8347569538543559
timing__setup__ws__corner:min_ss_100C_1v60,-6.831296610633339
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,-19.86162046602945
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,-6.831296610633339
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.834757
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,3
timing__setup_r2r__ws__corner:min_ss_100C_1v60,9.797258
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,447
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,911
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,2847
design__max_cap_violation__count__corner:min_ff_n40C_1v95,188
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.4135617243496008
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.4169585628118131
timing__hold__ws__corner:min_ff_n40C_1v95,0.09961387552334527
timing__setup__ws__corner:min_ff_n40C_1v95,18.87940168747243
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.099614
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,29.819078
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,447
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,2528
design__max_fanout_violation__count__corner:max_tt_025C_1v80,2847
design__max_cap_violation__count__corner:max_tt_025C_1v80,250
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.5517673141228477
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.5386136133996817
timing__hold__ws__corner:max_tt_025C_1v80,0.3079794284549503
timing__setup__ws__corner:max_tt_025C_1v80,9.412439094550926
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.307979
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,22.215204
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,447
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,6937
design__max_fanout_violation__count__corner:max_ss_100C_1v60,2847
design__max_cap_violation__count__corner:max_ss_100C_1v60,268
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.7299481226072612
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.6808167555751794
timing__hold__ws__corner:max_ss_100C_1v60,0.8501892763777064
timing__setup__ws__corner:max_ss_100C_1v60,-10.800040278892473
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-31.67967311480517
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-10.800040278892473
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.850189
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,3
timing__setup_r2r__ws__corner:max_ss_100C_1v60,6.684076
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,447
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,1279
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,2847
design__max_cap_violation__count__corner:max_ff_n40C_1v95,249
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.481913744772376
